school_id,school_name,education_level,latitude,longitude
764,EBC 3 Seical Baucau,Basic,-8.484270,126.550040
760,EBC 3 Tirilolo Baucau,Basic,-8.465900,126.460400
945,EBC 3 Uaibua Venilale,Basic,-8.639354,126.389556
744,EBC 3 Uailili Baucau,Basic,-8.511830,126.432410
759,EBC 3 Vila Nova Baucau,Basic,-8.478537,126.454751
1252,EBF 1 Aelita,Basic,-8.468065,126.462390
2276,EBF 1 Afalari,Basic,-8.627670,126.670390
2295,EBF 1 Cailoibere,Basic,-8.608653,126.472459
742,EBF 1 Cairabela,Basic,-8.482090,126.278160
2281,EBF 1 Lequeracabu,Basic,-8.505480,126.445080
1170,EBF 1 Osso-Ufulari,Basic,-8.615371,125.348136
2325,EBF 1 Uaiboru,Basic,-8.643650,126.615680
2288,EBF 1.2 - 20 de Agosto Atelari,Basic,-8.561170,126.713790
390,EBF 1.2 Abo-Uaimatale,Basic,-8.612344,126.555218
389,EBF 1.2 Abolir,Basic,-8.638750,126.566130
2280,EBF 1.2 Ague,Basic,-8.496800,126.533920
408,EBF 1.2 Ariana,Basic,-8.636804,126.418382
1172,EBF 1.2 Assanuno,Basic,-8.556148,126.685481
363,EBF 1.2 Aubaca,Basic,-8.500530,126.366000
409,EBF 1.2 Badomori,Basic,-8.605713,126.408238
704,EBF 1.2 Baguluro,Basic,-8.589750,126.600430
5294,EBF 1.2 Bahasahe,Basic,-8.584918,126.338419
366,EBF 1.2 Bela Vista,Basic,-8.507014,126.445907
749,EBF 1.2 Bercoli,Basic,-8.591638,126.383772
2324,EBF 1.2 Betumuto,Basic,-8.577290,126.709280
375,EBF 1.2 Binagua,Basic,-8.430424,126.677957
376,EBF 1.2 Boleha,Basic,-8.505140,126.620640
347,EBF 1.2 Bucoli,Basic,-8.487207,126.338233
367,EBF 1.2 Buibau,Basic,-8.504064,126.464427
358,EBF 1.2 Buruma,Basic,-8.462614,126.479367
348,EBF 1.2 Caibada - Uaimua,Basic,-8.452120,126.436410
365,EBF 1.2 Caibada Macasae,Basic,-8.467214,126.472147
405,EBF 1.2 Caicua,Basic,-8.515750,126.224410
364,EBF 1.2 Central,Basic,-8.461956,126.449055
1102,EBF 1.2 Culina Osso-Uailale,Basic,-8.662751,126.367583
354,EBF 1.2 Daitula Samalari,Basic,-8.567134,126.442696
411,EBF 1.2 Dara Lata,Basic,-8.476850,126.448441
1114,EBF 1.2 Darala,Basic,-8.657980,126.544000
1171,EBF 1.2 Daralari/Atelari,Basic,-8.634747,126.650715
5299,EBF 1.2 Darasula,Basic,-8.517110,126.350670
2291,EBF 1.2 Defadae,Basic,-8.585170,126.521120
750,EBF 1.2 Eubere,Basic,-8.556860,126.607100
412,EBF 1.2 Fatulia,Basic,-8.654634,126.361236
975,EBF 1.2 Gamana,Basic,-8.603410,126.591090
751,EBF 1.2 Golgota,Basic,-8.461720,126.432470
353,EBF 1.2 Gulari,Basic,-8.598810,126.646880
342,EBF 1.2 Haudere,Basic,-8.621210,126.657860
5001,EBF 1.2 Haulela Sarabata,Basic,-8.628230,126.496570
2285,EBF 1.2 Iatua,Basic,-8.492150,126.470060
398,EBF 1.2 Lacoliu,Basic,-8.609770,126.563530
1020,EBF 1.2 Laualio,Basic,-8.592390,126.548850
2275,EBF 1.2 Lebenei,Basic,-8.599700,126.663300
752,EBF 1.2 Letemumo Quelicai,Basic,-8.602194,126.557056
1248,EBF 1.2 Lutumutu,Basic,-8.992643,125.507800
